Accession Number,DOI,Pubmed ID,Article Title,Link,Authors,Source,Research Area,Volume,Issue,Pages,Publication Date,Times Cited,Journal Expected Citations,Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Percentile in Subject Area,Journal Impact Factor
WOS:000320455800043,10.1093/mnras/stt601,n/a,CFHTLenS tomographic weak lensing cosmological parameter constraints: Mitigating the impact of intrinsic galaxy alignments,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000320455800043,"Heymans, Catherine; Grocutt, Emma; Heavens, Alan; Kilbinger, Martin; Kitching, Thomas D.",MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,ASTRONOMY & ASTROPHYSICS,432,3,2433-2453,2013,304,25.543931,21.01,11.9,14.4685,0.1804,5.194
WOS:000366486600002,10.1103/PhysRevLett.115.250402,MEDLINE:26722906,Strong Loophole-Free Test of Local Realism,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000366486600002,"Shalm, Lynden K.; Meyer-Scott, Evan; Christensen, Bradley G.; Bierhorst, Peter; Wayne, Michael A.",PHYSICAL REVIEW LETTERS,"PHYSICS, MULTIDISCIPLINARY",115,25,n/a,2015,284,27.67546,9.41,10.26,30.1896,0.1246,8.839
WOS:000329477400004,10.1016/j.micres.2013.09.009,MEDLINE:24095256,Bacteria with ACC deaminase can promote plant growth and help to feed the world,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000329477400004,"Glick, Bernard R.",MICROBIOLOGICAL RESEARCH,MICROBIOLOGY,169,1,30-39,2014,277,16.815534,14.84,16.47,18.6656,0.0571,2.777
WOS:000318339700001,10.1093/mnras/sts612,n/a,SCUBA-2: the 10 000 pixel bolometer camera on the James Clerk Maxwell Telescope,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000318339700001,"Holland, W. S.; Bintley, D.; Chapin, E. L.; Chrysostomou, A.; Davis, G. R.",MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,ASTRONOMY & ASTROPHYSICS,430,4,2513-2533,2013,239,25.543931,21.01,9.36,11.3749,0.3298,5.194
WOS:000321098200004,10.1103/PhysRevLett.110.260601,MEDLINE:23848859,Universal Slow Growth of Entanglement in Interacting Strongly Disordered Systems,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000321098200004,"Serbyn, Maksym; Papic, Z.; Abanin, Dmitry A.",PHYSICAL REVIEW LETTERS,"PHYSICS, MULTIDISCIPLINARY",110,26,n/a,2013,224,39.681473,13.94,5.64,16.0684,0.352,8.839
WOS:000341249000001,10.1103/PhysRevX.4.031035,n/a,Probing the Chiral Anomaly with Nonlocal Transport in Three-Dimensional Topological Semimetals,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000341249000001,"Parameswaran, S. A.; Grover, T.; Abanin, D. A.; Pesin, D. A.; Vishwanath, A.",PHYSICAL REVIEW X,"PHYSICS, MULTIDISCIPLINARY",4,3,n/a,2014,223,42.527778,11.73,5.24,19.0161,0.2357,14.385
WOS:000330543500001,10.1021/ma4017696,n/a,Dynamics near Free Surfaces and the Glass Transition in Thin Polymer Films: A View to the Future,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000330543500001,"Ediger, M. D.; Forrest, J. A.",MACROMOLECULES,POLYMER SCIENCE,47,2,471-478,2014,222,24.435789,12.04,9.09,18.4406,0.0429,5.914
WOS:000319260500054,10.1093/mnras/stt041,n/a,CFHTLenS: combined probe cosmological model comparison using 2D weak gravitational lensing,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000319260500054,"Kilbinger, Martin; Fu, Liping; Heymans, Catherine; Simpson, Fergus; Benjamin, Jonathan",MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,ASTRONOMY & ASTROPHYSICS,430,3,2200-2220,2013,221,25.543931,21.01,8.65,10.5182,0.3968,5.194
WOS:000318272600005,10.1093/mnras/sts454,n/a,Bayesian galaxy shape measurement for weak lensing surveys - III. Application to the Canada-France-Hawaii Telescope Lensing Survey,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000318272600005,"Miller, L.; Heymans, C.; Kitching, T. D.; Van Waerbeke, L.; Erben, T.",MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,ASTRONOMY & ASTROPHYSICS,429,4,2858-2880,2013,214,25.543931,21.01,8.38,10.1851,0.4226,5.194
WOS:000322403800065,10.1093/mnras/stt928,n/a,CFHTLenS: the Canada-France-Hawaii Telescope Lensing Survey - imaging data and catalogue products,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000322403800065,"Erben, T.; Hildebrandt, H.; Miller, L.; Van Waerbeke, L.; Heymans, C.",MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,ASTRONOMY & ASTROPHYSICS,433,3,2545-2563,2013,213,25.543931,21.01,8.34,10.1375,0.4329,5.194
WOS:000365723300001,10.3945/jn.115.219634,MEDLINE:26468491,Addressing Current Criticism Regarding the Value of Self-Report Dietary Data,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000365723300001,"Subar, Amy F.; Freedman, Laurence S.; Tooze, Janet A.; Kirkpatrick, Sharon I.; Boushey, Carol",JOURNAL OF NUTRITION,NUTRITION & DIETETICS,145,12,2639-2645,2015,178,14.900602,9.49,11.95,18.7512,0.0403,4.398
WOS:000396575500080,10.1093/nar/gkw1004,MEDLINE:27789705,CARD 2017: expansion and model-centric curation of the comprehensive antibiotic resistance database,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000396575500080,"Jia, Baofeng; Raphenya, Amogelang R.; Alcock, Brian; Waglechner, Nicholas; Guo, Peiyao",NUCLEIC ACIDS RESEARCH,BIOCHEMISTRY & MOLECULAR BIOLOGY,45,D1,D566-D573,2017,173,10.750535,4.1,16.09,42.1701,0.0322,11.561
WOS:000339335300001,10.1007/JHEP07(2014)033,n/a,"Scattering of massless particles: scalars, gluons and gravitons",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000339335300001,"Cachazo, Freddy; He, Song; Yuan, Ellis Ye",JOURNAL OF HIGH ENERGY PHYSICS,"PHYSICS, PARTICLES & FIELDS",n/a,7,n/a,2014,173,19.962649,14.01,8.67,12.3489,0.2146,5.541
WOS:000318343600005,10.1093/mnrasl/sls053,n/a,Constraining self-interacting dark matter with the Milky Way's dwarf spheroidals,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000318343600005,"Zavala, Jesus; Vogelsberger, Mark; Walker, Matthew G.",MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,ASTRONOMY & ASTROPHYSICS,431,1,L20-L24,2013,167,25.543931,21.01,6.54,7.9482,0.7834,5.194
WOS:000394182900001,10.1038/NENERGY.2016.119,n/a,A high-capacity and long-life aqueous rechargeable zinc battery using a metal oxide intercalation cathode,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000394182900001,"Kundu, Dipan; Adams, Brian D.; Ort, Victor Du; Vajargah, Shahrzad Hosseini; Nazar, Linda F.",NATURE ENERGY,"MATERIALS SCIENCE, MULTIDISCIPLINARY; ENERGY & FUELS",1,n/a,n/a,2016,143,110.890244,10.12,1.29,14.1312,0.1983,46.859
WOS:000353070200015,10.1016/j.aop.2014.11.008,n/a,Periodically driven ergodic and many-body localized quantum systems,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000353070200015,"Ponte, Pedro; Chandran, Anushya; Papic, Z.; Abanin, Dmitry A.",ANNALS OF PHYSICS,"PHYSICS, MULTIDISCIPLINARY",353,n/a,196-204,2015,138,7.334302,9.41,18.82,14.6696,0.5457,2.367
WOS:000345882400016,10.1890/130300,n/a,"Managing the whole landscape: historical, hybrid, and novel ecosystems",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000345882400016,"Hobbs, Richard J.; Higgs, Eric; Hall, Carol M.; Bridgewater, Peter; Chapin, F. Stuart, III",FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,ECOLOGY; ENVIRONMENTAL SCIENCES,12,10,557-564,2014,137,55.684211,45.67,2.46,3,5.6385,8.302
WOS:000316849200099,10.1371/journal.pone.0058640,MEDLINE:23516524,The Complete Genome Sequence of the Plant Growth-Promoting Bacterium Pseudomonas sp UW4,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000316849200099,"Duan, Jin; Jiang, Wei; Cheng, Zhenyu; Heikkila, John J.; Glick, Bernard R.",PLOS ONE,MULTIDISCIPLINARY SCIENCES; MICROBIOLOGY,8,3,n/a,2013,132,17.664979,18.35,7.47,7.1949,0.6926,2.766
WOS:000335219600002,10.1038/ncomms4546,MEDLINE:24699423,Porphyrin-phospholipid liposomes permeabilized by near-infrared light,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000335219600002,"Carter, Kevin A.; Shao, Shuai; Hoopes, Matthew I.; Luo, Dandan; Ahsan, Bilal",NATURE COMMUNICATIONS,MULTIDISCIPLINARY SCIENCES,5,n/a,n/a,2014,132,54.721047,14.36,2.41,9.1949,1.3981,12.353
WOS:000321375600010,10.1007/JHEP05(2013)093,n/a,Exact results in D=2 supersymmetric gauge theories,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000321375600010,"Doroud, Nima; Gomis, Jaume; Le Folch, Bruno; Lee, Sungjay",JOURNAL OF HIGH ENERGY PHYSICS,"PHYSICS, PARTICLES & FIELDS",n/a,5,n/a,2013,128,20.781314,15.86,6.16,8.069,0.6689,5.541
WOS:000320041800021,10.1001/jamainternmed.2013.189,MEDLINE:23545598,The Mental Activity and eXercise (MAX) Trial A Randomized Controlled Trial to Enhance Cognitive Function in Older Adults,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000320041800021,"Barnes, Deborah E.; Santos-Modesitt, Wendy; Poelke, Gina; Kramer, Arthur F.; Castro, Cynthia",JAMA INTERNAL MEDICINE,"MEDICINE, GENERAL & INTERNAL; CLINICAL NEUROLOGY",173,9,797-804,2013,128,67.044586,15.3,1.91,8.3678,0.5838,19.989
WOS:000348690100040,10.1021/ja511444e,MEDLINE:25574932,Hydrogen Peroxide Displacing DNA from Nanoceria: Mechanism and Detection of Glucose in Serum,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000348690100040,"Liu, Biwu; Sun, Ziyi; Huang, Po-Jung Jimmy; Liu, Juewen",JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"CHEMISTRY, MULTIDISCIPLINARY",137,3,1290-1295,2015,127,47.986969,15.92,2.65,7.9761,1.0837,14.357
WOS:000358744500001,10.1007/JHEP07(2015)149,n/a,"Scattering equations and matrices: from Einstein to Yang-Mills, DBI and NLSM",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000358744500001,"Cachazo, Freddy; He, Song; Yuan, Ellis Ye",JOURNAL OF HIGH ENERGY PHYSICS,"PHYSICS, PARTICLES & FIELDS",n/a,7,n/a,2015,127,14.810226,11.08,8.58,11.4596,0.2682,5.541
WOS:000333724100055,10.1016/j.jpowsour.2014.01.057,n/a,A survey of mathematics-based equivalent-circuit and electrochemical battery models for hybrid and electric vehicle simulation,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000333724100055,"Seaman, Aden; Dao, Thanh-Son; McPhee, John",JOURNAL OF POWER SOURCES,"MATERIALS SCIENCE, MULTIDISCIPLINARY; CHEMISTRY, PHYSICAL; ELECTROCHEMISTRY; ENERGY & FUELS",256,n/a,410-423,2014,123,108.054054,55.88,1.14,2.2012,8.4084,6.945
WOS:000343857300044,10.1088/0004-637X/795/1/44,n/a,COSMOLOGICAL CONSTRAINTS FROM MEASUREMENTS OF TYPE Ia SUPERNOVAE DISCOVERED DURING THE FIRST 1.5 yr OF THE Pan-STARRS1 SURVEY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000343857300044,"Rest, A.; Scolnic, D.; Foley, R. J.; Huber, M. E.; Chornock, R.",ASTROPHYSICAL JOURNAL,ASTRONOMY & ASTROPHYSICS,795,1,n/a,2014,122,23.952278,17.24,5.09,7.075,0.7747,5.551
WOS:000361393700037,10.1073/pnas.1509120112,MEDLINE:26330605,Resilient 3D hierarchical architected metamaterials,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000361393700037,"Meza, Lucas R.; Zelhofer, Alex J.; Clarke, Nigel; Mateos, Arturo J.; Kochmann, Dennis M.",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"MULTIDISCIPLINARY SCIENCES; MATERIALS SCIENCE, MULTIDISCIPLINARY",112,37,11502-11507,2015,122,32.350198,14.23,3.77,8.5759,0.835,9.504
WOS:000322141300001,10.1186/1471-2288-13-92,MEDLINE:23855337,"A tutorial on sensitivity analyses in clinical trials: the what, why, when and how",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000322141300001,"Thabane, Lehana; Mbuagbaw, Lawrence; Zhang, Shiyuan; Samaan, Zainab; Marcucci, Maura",BMC MEDICAL RESEARCH METHODOLOGY,HEALTH CARE SCIENCES & SERVICES,13,n/a,n/a,2013,122,122,4.48,1,27.241,0.2562,2.524
WOS:000329586000017,10.1021/cr300461d,MEDLINE:23981057,Classical Electrostatics for Biomolecular Simulations,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000329586000017,"Cisneros, G. Andres; Karttunen, Mikko; Ren, Pengyu; Sagui, Celeste",CHEMICAL REVIEWS,"CHEMISTRY, MULTIDISCIPLINARY",114,1,779-814,2014,121,219.615658,80.36,0.55,1.5057,17.8749,52.613
WOS:000320363300015,10.1371/journal.pone.0065351,MEDLINE:23799008,Active Video Games and Health Indicators in Children and Youth: A Systematic Review,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000320363300015,"LeBlanc, Allana G.; Chaput, Jean-Philippe; McFarlane, Allison; Colley, Rachel C.; Thivel, David",PLOS ONE,PEDIATRICS; MULTIDISCIPLINARY SCIENCES,8,6,n/a,2013,121,36.426966,15.41,3.32,7.8516,0.3721,2.766
WOS:000366069300018,10.1149/2.0171514jes,n/a,Review-The Importance of Chemical Interactions between Sulfur Host Materials and Lithium Polysulfides for Advanced Lithium-Sulfur Batteries,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000366069300018,"Pang, Quan; Liang, Xiao; Kwok, C. Y.; Nazar, Linda F.",JOURNAL OF THE ELECTROCHEMICAL SOCIETY,"ELECTROCHEMISTRY; MATERIALS SCIENCE, COATINGS & FILMS",162,14,A2567-A2576,2015,120,75.818182,34.83,1.58,3.4457,6.5217,3.662
WOS:000331540900023,10.1186/cc12901,MEDLINE:24050662,"Skeletal muscle predicts ventilator-free days, ICU-free days, and mortality in elderly ICU patients",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000331540900023,"Moisey, Lesley L.; Mourtzakis, Marina; Cotton, Bryan A.; Premji, Tahira; Heyland, Daren K.",CRITICAL CARE,CRITICAL CARE MEDICINE,17,5,n/a,2013,117,30.443709,23.43,3.84,4.993,2.0509,6.425
WOS:000400476900007,10.1038/NPHYS4035,n/a,Machine learning phases of matter,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000400476900007,"Carrasquilla, Juan; Melko, Roger G.",NATURE PHYSICS,"PHYSICS, MULTIDISCIPLINARY",13,5,431-434,2017,114,25.333333,3.7,4.5,30.7991,0.1061,22.727
WOS:000416043700036,10.1038/nature24621,MEDLINE:29088705,A communal catalogue reveals Earth's multiscale microbial diversity,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000416043700036,"Thompson, Luke R.; Sanders, Jon G.; McDonald, Daniel; Amir, Amnon; Ladau, Joshua",NATURE,MULTIDISCIPLINARY SCIENCES; MICROBIOLOGY,551,7681,457-+,2017,114,44.145885,3.63,2.58,31.4255,0.0254,41.577
WOS:000392043500015,10.1038/NPHYS3905,n/a,Ultrastrong coupling of a single artificial atom to an electromagnetic continuum in the nonperturbative regime,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=tsmetrics&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000392043500015,"Forn-Diaz, P.; Garcia-Ripoll, J. J.; Peropadre, B.; Orgiazzi, J. -L.; Yurtalan, M. A.",NATURE PHYSICS,"PHYSICS, MULTIDISCIPLINARY",13,1,39-43,2017,111,25.333333,3.7,4.38,29.9886,0.1103,22.727
