DOI,Filename,Article Title,Authors,Source,Research Area,Publication Date,Times Cited,publisher,is-referenced-by-count,container-title,subject,crossref-data,is_oa,journal_is_oa,oa_status
10.1016/j.micres.2013.09.009,OA 2013-2017.csv,Bacteria with ACC deaminase can promote plant growth and help to feed the world,"Glick, Bernard R.",MICROBIOLOGICAL RESEARCH,MICROBIOLOGY,2014,277,Elsevier BV,434,Microbiological Research,,True,True,False,hybrid
10.1093/mnras/sts612,OA 2013-2017.csv,SCUBA-2: the 10 000 pixel bolometer camera on the James Clerk Maxwell Telescope,"Holland, W. S.; Bintley, D.; Chapin, E. L.; Chrysostomou, A.; Davis, G. R.",MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,ASTRONOMY & ASTROPHYSICS,2013,239,Oxford University Press (OUP),259,Monthly Notices of the Royal Astronomical Society,,True,True,False,bronze
10.1103/PhysRevLett.110.260601,OA 2013-2017.csv,Universal Slow Growth of Entanglement in Interacting Strongly Disordered Systems,"Serbyn, Maksym; Papic, Z.; Abanin, Dmitry A.",PHYSICAL REVIEW LETTERS,"PHYSICS, MULTIDISCIPLINARY",2013,224,American Physical Society (APS),246,Physical Review Letters,,True,True,False,hybrid
10.1103/PhysRevX.4.031035,OA 2013-2017.csv,Probing the Chiral Anomaly with Nonlocal Transport in Three-Dimensional Topological Semimetals,"Parameswaran, S. A.; Grover, T.; Abanin, D. A.; Pesin, D. A.; Vishwanath, A.",PHYSICAL REVIEW X,"PHYSICS, MULTIDISCIPLINARY",2014,223,American Physical Society (APS),173,Physical Review X,,True,True,True,gold
10.1021/ma4017696,OA 2013-2017.csv,Dynamics near Free Surfaces and the Glass Transition in Thin Polymer Films: A View to the Future,"Ediger, M. D.; Forrest, J. A.",MACROMOLECULES,POLYMER SCIENCE,2014,222,American Chemical Society (ACS),263,Macromolecules,,True,True,False,hybrid
10.1093/mnras/stt041,OA 2013-2017.csv,CFHTLenS: combined probe cosmological model comparison using 2D weak gravitational lensing,"Kilbinger, Martin; Fu, Liping; Heymans, Catherine; Simpson, Fergus; Benjamin, Jonathan",MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,ASTRONOMY & ASTROPHYSICS,2013,221,Oxford University Press (OUP),232,Monthly Notices of the Royal Astronomical Society,,True,True,False,bronze
10.1093/mnras/sts454,OA 2013-2017.csv,Bayesian galaxy shape measurement for weak lensing surveys - III. Application to the Canada-France-Hawaii Telescope Lensing Survey,"Miller, L.; Heymans, C.; Kitching, T. D.; Van Waerbeke, L.; Erben, T.",MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,ASTRONOMY & ASTROPHYSICS,2013,214,Oxford University Press (OUP),224,Monthly Notices of the Royal Astronomical Society,Space and Planetary Science;Astronomy and Astrophysics,True,True,False,bronze
10.1093/mnras/stt928,OA 2013-2017.csv,CFHTLenS: the Canada-France-Hawaii Telescope Lensing Survey - imaging data and catalogue products,"Erben, T.; Hildebrandt, H.; Miller, L.; Van Waerbeke, L.; Heymans, C.",MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,ASTRONOMY & ASTROPHYSICS,2013,213,Oxford University Press (OUP),227,Monthly Notices of the Royal Astronomical Society,,True,True,False,bronze
10.3945/jn.115.219634,OA 2013-2017.csv,Addressing Current Criticism Regarding the Value of Self-Report Dietary Data,"Subar, Amy F.; Freedman, Laurence S.; Tooze, Janet A.; Kirkpatrick, Sharon I.; Boushey, Carol",JOURNAL OF NUTRITION,NUTRITION & DIETETICS,2015,178,Oxford University Press (OUP),216,The Journal of Nutrition,,True,True,False,bronze
10.1093/nar/gkw1004,OA 2013-2017.csv,CARD 2017: expansion and model-centric curation of the comprehensive antibiotic resistance database,"Jia, Baofeng; Raphenya, Amogelang R.; Alcock, Brian; Waglechner, Nicholas; Guo, Peiyao",NUCLEIC ACIDS RESEARCH,BIOCHEMISTRY & MOLECULAR BIOLOGY,2017,173,Oxford University Press (OUP),315,Nucleic Acids Research,,True,True,True,gold
10.1007/JHEP07(2014)033,OA 2013-2017.csv,"Scattering of massless particles: scalars, gluons and gravitons","Cachazo, Freddy; He, Song; Yuan, Ellis Ye",JOURNAL OF HIGH ENERGY PHYSICS,"PHYSICS, PARTICLES & FIELDS",2014,173,Springer Nature,204,Journal of High Energy Physics,,True,True,True,gold
10.1093/mnrasl/sls053,OA 2013-2017.csv,Constraining self-interacting dark matter with the Milky Way's dwarf spheroidals,"Zavala, Jesus; Vogelsberger, Mark; Walker, Matthew G.",MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,ASTRONOMY & ASTROPHYSICS,2013,167,Oxford University Press (OUP),187,Monthly Notices of the Royal Astronomical Society: Letters,,True,True,False,bronze
10.1038/NENERGY.2016.119,OA 2013-2017.csv,A high-capacity and long-life aqueous rechargeable zinc battery using a metal oxide intercalation cathode,"Kundu, Dipan; Adams, Brian D.; Ort, Victor Du; Vajargah, Shahrzad Hosseini; Nazar, Linda F.",NATURE ENERGY,"MATERIALS SCIENCE, MULTIDISCIPLINARY; ENERGY & FUELS",2016,143,Springer Science and Business Media LLC,264,Nature Energy,,True,False,False,closed
10.1016/j.aop.2014.11.008,OA 2013-2017.csv,Periodically driven ergodic and many-body localized quantum systems,"Ponte, Pedro; Chandran, Anushya; Papic, Z.; Abanin, Dmitry A.",ANNALS OF PHYSICS,"PHYSICS, MULTIDISCIPLINARY",2015,138,Elsevier BV,153,Annals of Physics,General Physics and Astronomy,True,True,False,green
10.1890/130300,OA 2013-2017.csv,"Managing the whole landscape: historical, hybrid, and novel ecosystems","Hobbs, Richard J.; Higgs, Eric; Hall, Carol M.; Bridgewater, Peter; Chapin, F. Stuart, III",FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,ECOLOGY; ENVIRONMENTAL SCIENCES,2014,137,Wiley,158,Frontiers in Ecology and the Environment,,True,True,False,bronze
10.1371/journal.pone.0058640,OA 2013-2017.csv,The Complete Genome Sequence of the Plant Growth-Promoting Bacterium Pseudomonas sp UW4,"Duan, Jin; Jiang, Wei; Cheng, Zhenyu; Heikkila, John J.; Glick, Bernard R.",PLOS ONE,MULTIDISCIPLINARY SCIENCES; MICROBIOLOGY,2013,132,Public Library of Science (PLoS),64,PLoS ONE,,True,True,True,gold
10.1038/ncomms4546,OA 2013-2017.csv,Porphyrin-phospholipid liposomes permeabilized by near-infrared light,"Carter, Kevin A.; Shao, Shuai; Hoopes, Matthew I.; Luo, Dandan; Ahsan, Bilal",NATURE COMMUNICATIONS,MULTIDISCIPLINARY SCIENCES,2014,132,Springer Science and Business Media LLC,146,Nature Communications,"General Biochemistry, Genetics and Molecular Biology;General Physics and Astronomy;General Chemistry",True,True,False,hybrid
10.1007/JHEP05(2013)093,"OA 2013-2017.csv,OA other 2013-2017.csv",Exact results in D=2 supersymmetric gauge theories,"Doroud, Nima; Gomis, Jaume; Le Folch, Bruno; Lee, Sungjay",JOURNAL OF HIGH ENERGY PHYSICS,"PHYSICS, PARTICLES & FIELDS",2013,128,Springer Nature,138,Journal of High Energy Physics,,True,True,False,bronze
10.1001/jamainternmed.2013.189,OA 2013-2017.csv,The Mental Activity and eXercise (MAX) Trial A Randomized Controlled Trial to Enhance Cognitive Function in Older Adults,"Barnes, Deborah E.; Santos-Modesitt, Wendy; Poelke, Gina; Kramer, Arthur F.; Castro, Cynthia",JAMA INTERNAL MEDICINE,"MEDICINE, GENERAL & INTERNAL; CLINICAL NEUROLOGY",2013,128,American Medical Association (AMA),140,JAMA Internal Medicine,,True,True,False,bronze
10.1021/ja511444e,OA 2013-2017.csv,Hydrogen Peroxide Displacing DNA from Nanoceria: Mechanism and Detection of Glucose in Serum,"Liu, Biwu; Sun, Ziyi; Huang, Po-Jung Jimmy; Liu, Juewen",JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"CHEMISTRY, MULTIDISCIPLINARY",2015,127,American Chemical Society (ACS),160,Journal of the American Chemical Society,,True,True,False,hybrid
10.1007/JHEP07(2015)149,OA 2013-2017.csv,"Scattering equations and matrices: from Einstein to Yang-Mills, DBI and NLSM","Cachazo, Freddy; He, Song; Yuan, Ellis Ye",JOURNAL OF HIGH ENERGY PHYSICS,"PHYSICS, PARTICLES & FIELDS",2015,127,Springer Nature,149,Journal of High Energy Physics,,True,True,True,gold
10.1016/j.jpowsour.2014.01.057,OA 2013-2017.csv,A survey of mathematics-based equivalent-circuit and electrochemical battery models for hybrid and electric vehicle simulation,"Seaman, Aden; Dao, Thanh-Son; McPhee, John",JOURNAL OF POWER SOURCES,"MATERIALS SCIENCE, MULTIDISCIPLINARY; CHEMISTRY, PHYSICAL; ELECTROCHEMISTRY; ENERGY & FUELS",2014,123,Elsevier BV,134,Journal of Power Sources,,True,True,False,green
10.1088/0004-637X/795/1/44,OA 2013-2017.csv,COSMOLOGICAL CONSTRAINTS FROM MEASUREMENTS OF TYPE Ia SUPERNOVAE DISCOVERED DURING THE FIRST 1.5 yr OF THE Pan-STARRS1 SURVEY,"Rest, A.; Scolnic, D.; Foley, R. J.; Huber, M. E.; Chornock, R.",ASTROPHYSICAL JOURNAL,ASTRONOMY & ASTROPHYSICS,2014,122,IOP Publishing,145,The Astrophysical Journal,,True,True,False,bronze
10.1073/pnas.1509120112,OA 2013-2017.csv,Resilient 3D hierarchical architected metamaterials,"Meza, Lucas R.; Zelhofer, Alex J.; Clarke, Nigel; Mateos, Arturo J.; Kochmann, Dennis M.",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"MULTIDISCIPLINARY SCIENCES; MATERIALS SCIENCE, MULTIDISCIPLINARY",2015,122,Proceedings of the National Academy of Sciences,145,Proceedings of the National Academy of Sciences,,True,True,False,bronze
10.1186/1471-2288-13-92,OA 2013-2017.csv,"A tutorial on sensitivity analyses in clinical trials: the what, why, when and how","Thabane, Lehana; Mbuagbaw, Lawrence; Zhang, Shiyuan; Samaan, Zainab; Marcucci, Maura",BMC MEDICAL RESEARCH METHODOLOGY,HEALTH CARE SCIENCES & SERVICES,2013,122,Springer Nature,147,BMC Medical Research Methodology,,True,True,True,gold
10.1021/cr300461d,OA 2013-2017.csv,Classical Electrostatics for Biomolecular Simulations,"Cisneros, G. Andres; Karttunen, Mikko; Ren, Pengyu; Sagui, Celeste",CHEMICAL REVIEWS,"CHEMISTRY, MULTIDISCIPLINARY",2014,121,American Chemical Society (ACS),133,Chemical Reviews,,True,True,False,green
10.1371/journal.pone.0065351,OA 2013-2017.csv,Active Video Games and Health Indicators in Children and Youth: A Systematic Review,"LeBlanc, Allana G.; Chaput, Jean-Philippe; McFarlane, Allison; Colley, Rachel C.; Thivel, David",PLOS ONE,PEDIATRICS; MULTIDISCIPLINARY SCIENCES,2013,121,Public Library of Science (PLoS),127,PLoS ONE,,True,True,True,gold
10.1149/2.0171514jes,"OA 2013-2017.csv,OA other 2013-2017.csv",Review-The Importance of Chemical Interactions between Sulfur Host Materials and Lithium Polysulfides for Advanced Lithium-Sulfur Batteries,"Pang, Quan; Liang, Xiao; Kwok, C. Y.; Nazar, Linda F.",JOURNAL OF THE ELECTROCHEMICAL SOCIETY,"ELECTROCHEMISTRY; MATERIALS SCIENCE, COATINGS & FILMS",2015,120,The Electrochemical Society,158,Journal of The Electrochemical Society,,True,True,False,hybrid
10.1186/cc12901,OA 2013-2017.csv,"Skeletal muscle predicts ventilator-free days, ICU-free days, and mortality in elderly ICU patients","Moisey, Lesley L.; Mourtzakis, Marina; Cotton, Bryan A.; Premji, Tahira; Heyland, Daren K.",CRITICAL CARE,CRITICAL CARE MEDICINE,2013,117,Springer Nature,140,Critical Care,,True,True,True,gold
10.1038/NPHYS4035,OA 2013-2017.csv,Machine learning phases of matter,"Carrasquilla, Juan; Melko, Roger G.",NATURE PHYSICS,"PHYSICS, MULTIDISCIPLINARY",2017,114,Springer Science and Business Media LLC,201,Nature Physics,General Physics and Astronomy,True,True,False,green
10.1038/nature24621,"OA 2013-2017.csv,OA other 2013-2017.csv",A communal catalogue reveals Earth's multiscale microbial diversity,"Thompson, Luke R.; Sanders, Jon G.; McDonald, Daniel; Amir, Amnon; Ladau, Joshua",NATURE,MULTIDISCIPLINARY SCIENCES; MICROBIOLOGY,2017,114,Springer Nature,142,Nature,Multidisciplinary,True,True,False,hybrid
10.1038/NPHYS3905,OA 2013-2017.csv,Ultrastrong coupling of a single artificial atom to an electromagnetic continuum in the nonperturbative regime,"Forn-Diaz, P.; Garcia-Ripoll, J. J.; Peropadre, B.; Orgiazzi, J. -L.; Yurtalan, M. A.",NATURE PHYSICS,"PHYSICS, MULTIDISCIPLINARY",2017,111,Springer Science and Business Media LLC,145,Nature Physics,General Physics and Astronomy,True,True,False,green
10.1093/mnras/stt2013,OA 2013-2017.csv,CFHTLenS: the relation between galaxy dark matter haloes and baryons from weak gravitational lensing,"Velander, Malin; van Uitert, Edo; Hoekstra, Henk; Coupon, Jean; Erben, Thomas",MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,ASTRONOMY & ASTROPHYSICS,2014,109,Oxford University Press (OUP),114,Monthly Notices of the Royal Astronomical Society,,True,True,False,bronze
10.1016/j.micres.2015.11.008,OA 2013-2017.csv,Plant growth-promoting bacterial endophytes,"Santoyo, Gustavo; Moreno-Hagelsieb, Gabriel; Orozco-Mosqueda, Ma. del Carmen; Glick, Bernard R.",MICROBIOLOGICAL RESEARCH,MICROBIOLOGY,2016,108,Elsevier BV,200,Microbiological Research,,True,True,False,hybrid
10.1002/adma.201301082,OA 2013-2017.csv,Cell-laden Microengineered and Mechanically Tunable Hybrid Hydrogels of Gelatin and Graphene Oxide,"Shin, Su Ryon; Aghaei-Ghareh-Bolagh, Behnaz; Dang, Tram T.; Topkaya, Seda Nur; Gao, Xiguang",ADVANCED MATERIALS,"CHEMISTRY, PHYSICAL; PHYSICS, CONDENSED MATTER; MATERIALS SCIENCE, MULTIDISCIPLINARY; NANOSCIENCE & NANOTECHNOLOGY; PHYSICS, APPLIED; CHEMISTRY, MULTIDISCIPLINARY",2013,108,Wiley,137,Advanced Materials,,True,True,False,green
10.1103/PhysRevLett.113.147204,OA 2013-2017.csv,Interferometric Probes of Many-Body Localization,"Serbyn, M.; Knap, M.; Gopalakrishnan, S.; Papic, Z.; Yao, N. Y.",PHYSICAL REVIEW LETTERS,"PHYSICS, MULTIDISCIPLINARY",2014,106,American Physical Society (APS),114,Physical Review Letters,,True,True,False,green
10.1186/1743-0003-10-91,OA 2013-2017.csv,Review of fall risk assessment in geriatric populations using inertial sensors,"Howcroft, Jennifer; Kofman, Jonathan; Lemaire, Edward D.",JOURNAL OF NEUROENGINEERING AND REHABILITATION,"REHABILITATION; ENGINEERING, BIOMEDICAL; NEUROSCIENCES",2013,105,Springer Nature,132,Journal of NeuroEngineering and Rehabilitation,,True,True,True,gold
10.1073/pnas.1611740113,OA 2013-2017.csv,Broadband high-efficiency dielectric metasurfaces for the visible spectrum,"Devlin, Robert C.; Khorasaninejad, Mohammadreza; Chen, Wei Ting; Oh, Jaewon; Capasso, Federico",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"MULTIDISCIPLINARY SCIENCES; PHYSICS, APPLIED",2016,105,Proceedings of the National Academy of Sciences,144,Proceedings of the National Academy of Sciences,,True,True,False,bronze
10.1039/c5ee01365h,"OA 2013-2017.csv,OA other 2013-2017.csv",Structure of the high voltage phase of layered P2-Na2/3-z[Mn1/2Fe1/2]O-2 and the positive effect of Ni substitution on its stability,"Talaie, Elahe; Duffort, Victor; Smith, Hillary L.; Fultz, Brent; Nazar, Linda F.",ENERGY & ENVIRONMENTAL SCIENCE,"ENGINEERING, CHEMICAL; ENVIRONMENTAL SCIENCES; ENERGY & FUELS; CHEMISTRY, MULTIDISCIPLINARY",2015,104,Royal Society of Chemistry (RSC),133,Energy & Environmental Science,,True,True,False,green
10.1093/mnras/stt030,OA 2013-2017.csv,Galaxy And Mass Assembly (GAMA): spectroscopic analysis,"Hopkins, A. M.; Driver, S. P.; Brough, S.; Owers, M. S.; Bauer, A. E.",MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,ASTRONOMY & ASTROPHYSICS,2013,104,Oxford University Press (OUP),108,Monthly Notices of the Royal Astronomical Society,,True,True,False,bronze
10.1021/acs.chemrev.7b00063,OA 2013-2017.csv,Metal Sensing by DNA,"Zhou, Wenhu; Saran, Runjhun; Liu, Juewen",CHEMICAL REVIEWS,"CHEMISTRY, MULTIDISCIPLINARY",2017,103,American Chemical Society (ACS),172,Chemical Reviews,,True,True,False,hybrid
10.1515/pac-2014-0208,OA 2013-2017.csv,Recommended isolated-line profile for representing high-resolution spectroscopic transitions (IUPAC Technical Report),"Tennyson, Jonathan; Bernath, Peter F.; Campargue, Alain; Csaszar, Attila G.; Daumont, Ludovic",PURE AND APPLIED CHEMISTRY,"CHEMISTRY, MULTIDISCIPLINARY",2014,102,Walter de Gruyter GmbH,98,Pure and Applied Chemistry,General Chemistry;General Chemical Engineering,True,True,False,green
10.1109/TVT.2013.2251374,OA 2013-2017.csv,Performance Analysis and Enhancement of the DSRC for VANET's Safety Applications,"Hafeez, Khalid Abdel; Zhao, Lian; Ma, Bobby; Mark, Jon W.",IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,"TRANSPORTATION SCIENCE & TECHNOLOGY; ENGINEERING, ELECTRICAL & ELECTRONIC; TELECOMMUNICATIONS",2013,99,Institute of Electrical and Electronics Engineers (IEEE),115,IEEE Transactions on Vehicular Technology,,True,True,False,hybrid
10.1126/science.1250217,OA 2013-2017.csv,Mapping the Cellular Response to Small Molecules Using Chemogenomic Fitness Signatures,"Lee, Anna Y.; St. Onge, Robert P.; Proctor, Michael J.; Wallace, Iain M.; Nile, Aaron H.",SCIENCE,BIOCHEMISTRY & MOLECULAR BIOLOGY; MULTIDISCIPLINARY SCIENCES,2014,98,American Association for the Advancement of Science (AAAS),113,Science,,True,True,False,green
10.1016/j.trac.2013.12.014,OA 2013-2017.csv,"DNA-stabilized, fluorescent, metal nanoclusters for biosensor development","Liu, Juewen",TRAC-TRENDS IN ANALYTICAL CHEMISTRY,"CHEMISTRY, ANALYTICAL",2014,97,Elsevier BV,103,TrAC Trends in Analytical Chemistry,,True,True,False,green
10.1186/1556-276X-8-235,OA 2013-2017.csv,Failure of silver nanowire transparent electrodes under current flow,"Khaligh, Hadi Hosseinzadeh; Goldthorpe, Irene A.",NANOSCALE RESEARCH LETTERS,"PHYSICS, APPLIED; MATERIALS SCIENCE, MULTIDISCIPLINARY; NANOSCIENCE & NANOTECHNOLOGY",2013,96,Springer Nature,116,Nanoscale Research Letters,,True,True,True,gold
10.1038/NPHYS3040,OA 2013-2017.csv,Forces driving epithelial wound healing,"Brugues, Agusti; Anon, Ester; Conte, Vito; Veldhuis, Jim H.; Gupta, Mukund",NATURE PHYSICS,"PHYSICS, MULTIDISCIPLINARY",2014,95,Springer Science and Business Media LLC,116,Nature Physics,General Physics and Astronomy,True,True,False,green
10.1103/PhysRevLett.111.053601,OA 2013-2017.csv,Giant Cross-Kerr Effect for Propagating Microwaves Induced by an Artificial Atom,"Hoi, Io-Chun; Kockum, Anton F.; Palomaki, Tauno; Stace, Thomas M.; Fan, Bixuan",PHYSICAL REVIEW LETTERS,"PHYSICS, MULTIDISCIPLINARY",2013,94,American Physical Society (APS),98,Physical Review Letters,,True,True,False,hybrid
10.1212/WNL.0b013e31827b1ae0,OA 2013-2017.csv,Depression in epilepsy A systematic review and meta-analysis,"Fiest, Kirsten M.; Dykeman, Jonathan; Patten, Scott B.; Wiebe, Samuel; Kaplan, Gilaad G.",NEUROLOGY,CLINICAL NEUROLOGY,2013,93,Ovid Technologies (Wolters Kluwer Health),107,Neurology,Clinical Neurology,True,True,False,green
10.1007/s10237-015-0662-4,"OA 2013-2017.csv,OA other 2013-2017.csv","Mechanics of the brain: perspectives, challenges, and opportunities","Goriely, Alain; Geers, Marc G. D.; Holzapfel, Gerhard A.; Jayamohan, Jayaratnam; Jerusalem, Antoine",BIOMECHANICS AND MODELING IN MECHANOBIOLOGY,"ENGINEERING, BIOMEDICAL; BIOPHYSICS",2015,93,Springer Nature,123,Biomechanics and Modeling in Mechanobiology,Biotechnology;Mechanical Engineering;Modelling and Simulation,True,True,False,hybrid
10.1088/0004-637X/772/2/82,OA 2013-2017.csv,A CATALOG OF GLOBULAR CLUSTER SYSTEMS: WHAT DETERMINES THE SIZE OF A GALAXY'S GLOBULAR CLUSTER POPULATION?,"Harris, William E.; Harris, Gretchen L. H.; Alessi, Matthew",ASTROPHYSICAL JOURNAL,ASTRONOMY & ASTROPHYSICS,2013,92,IOP Publishing,112,The Astrophysical Journal,,True,True,False,bronze
10.1088/0067-0049/206/1/3,OA 2013-2017.csv,EVOLUTION OF GALAXIES AND THEIR ENVIRONMENTS AT z=0.1-3 IN COSMOS,"Scoville, N.; Arnouts, S.; Aussel, H.; Benson, A.; Bongiorno, A.",ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,ASTRONOMY & ASTROPHYSICS,2013,92,IOP Publishing,98,The Astrophysical Journal Supplement Series,,True,True,False,bronze
10.1111/mcn.12080,OA 2013-2017.csv,The economic rationale for investing in stunting reduction,"Hoddinott, John; Alderman, Harold; Behrman, Jere R.; Haddad, Lawrence; Horton, Susan",MATERNAL AND CHILD NUTRITION,NUTRITION & DIETETICS; PEDIATRICS,2013,92,Wiley,119,Maternal & Child Nutrition,,True,True,False,bronze
10.1145/2635868.2635929,OA 2013-2017.csv,Are Mutants a Valid Substitute for Real Faults in Software Testing?,"Just, Rene; Jalali, Darioush; Inozemtseva, Laura; Ernst, Michael D.; Holmes, Reid",22ND ACM SIGSOFT INTERNATIONAL SYMPOSIUM ON THE FOUNDATIONS OF SOFTWARE ENGINEERING (FSE 2014),"COMPUTER SCIENCE, SOFTWARE ENGINEERING",2014,90,ACM Press,140,Proceedings of the 22nd ACM SIGSOFT International Symposium on Foundations of Software Engineering - FSE 2014,,True,True,False,green
