DOI,publisher,is-referenced-by-count,container-title,subject
10.1103/PhysRevLett.112.010505,American Physical Society (APS),35,Physical Review Letters,
10.1088/0004-637X/791/1/28,IOP Publishing,39,The Astrophysical Journal,
10.1080/03066150.2013.876995,Informa UK Limited,52,The Journal of Peasant Studies,Arts and Humanities (miscellaneous);Cultural Studies;Anthropology
10.1016/j.ijggc.2014.08.017,Elsevier BV,40,International Journal of Greenhouse Gas Control,
10.1016/j.engstruct.2013.11.005,Elsevier BV,20,Engineering Structures,
10.1021/es503306g,American Chemical Society (ACS),40,Environmental Science & Technology,
10.1021/jp3121403,American Chemical Society (ACS),39,The Journal of Physical Chemistry C,"General Energy;Physical and Theoretical Chemistry;Electronic, Optical and Magnetic Materials;Surfaces, Coatings and Films"
10.1002/etc.2262,Wiley,40,Environmental Toxicology and Chemistry,"Health, Toxicology and Mutagenesis;Environmental Chemistry"
10.1103/PhysRevB.88.115407,American Physical Society (APS),40,Physical Review B,"Electronic, Optical and Magnetic Materials;Condensed Matter Physics"
10.1109/JSAC.2013.SUP2.1213008,Institute of Electrical and Electronics Engineers (IEEE),58,IEEE Journal on Selected Areas in Communications,
10.1016/j.amepre.2013.05.008,Elsevier BV,34,American Journal of Preventive Medicine,"Public Health, Environmental and Occupational Health;Epidemiology"
10.1109/TAC.2012.2204155,Institute of Electrical and Electronics Engineers (IEEE),36,IEEE Transactions on Automatic Control,Control and Systems Engineering;Electrical and Electronic Engineering;Computer Science Applications
10.1016/j.envsoft.2013.02.011,Elsevier BV,40,Environmental Modelling & Software,
10.1088/0004-637X/767/2/133,IOP Publishing,34,The Astrophysical Journal,
10.1103/PhysRevA.87.042301,American Physical Society (APS),37,Physical Review A,
10.1109/TMTT.2013.2275331,Institute of Electrical and Electronics Engineers (IEEE),31,IEEE Transactions on Microwave Theory and Techniques,
10.1103/PhysRevB.87.184423,American Physical Society (APS),35,Physical Review B,
10.1371/journal.pone.0067025,Public Library of Science (PLoS),39,PLoS ONE,"General Biochemistry, Genetics and Molecular Biology;General Agricultural and Biological Sciences;General Medicine"
10.1002/adma.201301183,Wiley,36,Advanced Materials,
10.1103/PhysRevA.87.012321,American Physical Society (APS),36,Physical Review A,"Atomic and Molecular Physics, and Optics"
10.1038/ncomms3337,Springer Science and Business Media LLC,30,Nature Communications,"General Biochemistry, Genetics and Molecular Biology;General Physics and Astronomy;General Chemistry"
10.1016/j.precamres.2013.09.016,Elsevier BV,41,Precambrian Research,
10.1371/journal.pone.0068924,Public Library of Science (PLoS),37,PLoS ONE,"General Biochemistry, Genetics and Molecular Biology;General Agricultural and Biological Sciences;General Medicine"
10.1109/TAP.2013.2282535,Institute of Electrical and Electronics Engineers (IEEE),31,IEEE Transactions on Antennas and Propagation,
10.1016/j.jngse.2013.09.006,Elsevier BV,38,Journal of Natural Gas Science and Engineering,
10.1016/j.applthermaleng.2017.05.010,Elsevier BV,42,Applied Thermal Engineering,
10.1002/adfm.201702562,Wiley,45,Advanced Functional Materials,
10.1109/JIOT.2016.2619679,Institute of Electrical and Electronics Engineers (IEEE),22,IEEE Internet of Things Journal,
10.1038/s41551-016-0025,Springer Science and Business Media LLC,45,Nature Biomedical Engineering,
10.1016/j.actbio.2016.10.017,Elsevier BV,36,Acta Biomaterialia,
10.1101/gad.276931.115,Cold Spring Harbor Laboratory,47,Genes & Development,
10.1177/0963721415617806,SAGE Publications,43,Current Directions in Psychological Science,
10.1542/peds.2015-3185,American Academy of Pediatrics (AAP),42,PEDIATRICS,
10.1103/PhysRevD.94.064074,American Physical Society (APS),37,Physical Review D,
10.1021/acs.langmuir.6b00493,American Chemical Society (ACS),39,Langmuir,
10.1038/srep25666,Springer Science and Business Media LLC,49,Scientific Reports,Multidisciplinary
10.1038/ncomms9735,Springer Science and Business Media LLC,26,Nature Communications,"General Biochemistry, Genetics and Molecular Biology;General Physics and Astronomy;General Chemistry"
10.1016/j.physio.2015.01.009,Elsevier BV,38,Physiotherapy,
10.1016/j.apsusc.2014.10.146,Elsevier BV,38,Applied Surface Science,
10.1158/0008-5472.CAN-14-2676,American Association for Cancer Research (AACR),39,Cancer Research,
10.1016/j.compstruct.2014.09.031,Elsevier BV,32,Composite Structures,
10.1088/0957-4484/26/24/242001,IOP Publishing,31,Nanotechnology,
10.1109/TCYB.2014.2328659,Institute of Electrical and Electronics Engineers (IEEE),29,IEEE Transactions on Cybernetics,
10.1002/adfm.201500837,Wiley,40,Advanced Functional Materials,
10.1016/j.socscimed.2014.06.025,Elsevier BV,36,Social Science & Medicine,
10.1093/mnras/stu389,Oxford University Press (OUP),34,Monthly Notices of the Royal Astronomical Society,
10.1016/j.cherd.2013.08.001,Elsevier BV,40,Chemical Engineering Research and Design,General Chemistry;General Chemical Engineering
10.1098/rspb.2013.3172,The Royal Society,40,Proceedings of the Royal Society B: Biological Sciences,"General Biochemistry, Genetics and Molecular Biology;General Immunology and Microbiology;General Agricultural and Biological Sciences;General Environmental Science;General Medicine"
10.1007/s00340-013-5745-2,Springer Science and Business Media LLC,41,Applied Physics B,Physics and Astronomy (miscellaneous);General Physics and Astronomy
10.1007/s10940-013-9194-1,Springer Science and Business Media LLC,40,Journal of Quantitative Criminology,Pathology and Forensic Medicine;Law
10.1093/mnrasl/slu066,Oxford University Press (OUP),37,Monthly Notices of the Royal Astronomical Society: Letters,
10.1109/MCOM.2014.6852092,Institute of Electrical and Electronics Engineers (IEEE),38,IEEE Communications Magazine,
10.5751/ES-06656-190273,"Resilience Alliance, Inc.",34,Ecology and Society,
10.1016/j.aap.2014.07.014,Elsevier BV,42,Accident Analysis & Prevention,
10.1016/j.electacta.2014.02.135,Elsevier BV,39,Electrochimica Acta,
10.1016/j.rse.2013.12.016,Elsevier BV,33,Remote Sensing of Environment,
10.1093/mnras/stu893,Oxford University Press (OUP),42,Monthly Notices of the Royal Astronomical Society,
10.1016/j.habitatint.2014.05.003,Elsevier BV,38,Habitat International,
10.1038/ncomms6814,Springer Science and Business Media LLC,33,Nature Communications,"General Biochemistry, Genetics and Molecular Biology;General Physics and Astronomy;General Chemistry"
10.1109/MWC.2014.6882302,Institute of Electrical and Electronics Engineers (IEEE),31,IEEE Wireless Communications,
10.1109/JSAC.2014.141214,Institute of Electrical and Electronics Engineers (IEEE),41,IEEE Journal on Selected Areas in Communications,
10.1007/s13361-014-0939-3,Springer Science and Business Media LLC,40,Journal of The American Society for Mass Spectrometry,Spectroscopy;Structural Biology
10.1177/0956797614535400,SAGE Publications,44,Psychological Science,
10.1074/jbc.M113.521666,American Society for Biochemistry & Molecular Biology (ASBMB),32,Journal of Biological Chemistry,
10.1038/psp.2014.45,Wiley,54,CPT: Pharmacometrics & Systems Pharmacology,
10.1139/apnm-2014-0070,Canadian Science Publishing,41,"Applied Physiology, Nutrition, and Metabolism",
10.1016/j.jamda.2014.07.012,Elsevier BV,30,Journal of the American Medical Directors Association,
10.1021/am4039272,American Chemical Society (ACS),34,ACS Applied Materials & Interfaces,General Materials Science
10.1007/s00221-014-4049-z,Springer Science and Business Media LLC,48,Experimental Brain Research,General Neuroscience
10.1016/j.neucom.2013.10.030,Elsevier BV,33,Neurocomputing,
10.1109/TPWRS.2013.2283542,Institute of Electrical and Electronics Engineers (IEEE),45,IEEE Transactions on Power Systems,
10.1002/nag.1135,Wiley,34,International Journal for Numerical and Analytical Methods in Geomechanics,Geotechnical Engineering and Engineering Geology;General Materials Science;Mechanics of Materials;Computational Mechanics
10.1109/JSTSP.2013.2271421,Institute of Electrical and Electronics Engineers (IEEE),42,IEEE Journal of Selected Topics in Signal Processing,
10.1364/OE.21.029013,The Optical Society,34,Optics Express,
10.1080/00140139.2012.752528,Informa UK Limited,37,Ergonomics,"Physical Therapy, Sports Therapy and Rehabilitation;Human Factors and Ergonomics"
10.14778/2536258.2536262,VLDB Endowment,28,Proceedings of the VLDB Endowment,
10.3109/02713683.2013.763987,Informa UK Limited,32,Current Eye Research,Ophthalmology;Sensory Systems;Cellular and Molecular Neuroscience
10.1167/iovs.13-13074,Association for Research in Vision and Ophthalmology (ARVO),29,Investigative Opthalmology & Visual Science,
10.1103/PhysRevLett.111.153602,American Physical Society (APS),38,Physical Review Letters,General Physics and Astronomy
10.1109/TIE.2012.2209616,Institute of Electrical and Electronics Engineers (IEEE),37,IEEE Transactions on Industrial Electronics,Control and Systems Engineering;Electrical and Electronic Engineering
10.1016/j.jpowsour.2013.05.017,Elsevier BV,34,Journal of Power Sources,
10.1109/TWC.2012.121112.120148,Institute of Electrical and Electronics Engineers (IEEE),34,IEEE Transactions on Wireless Communications,Electrical and Electronic Engineering;Applied Mathematics;Computer Science Applications
10.1037/a0029560,American Psychological Association (APA),45,Journal of Experimental Psychology: General,Experimental and Cognitive Psychology;Developmental Neuroscience;General Psychology
10.1016/j.cognition.2013.02.007,Elsevier BV,38,Cognition,
10.1088/0964-1726/22/3/035001,IOP Publishing,31,Smart Materials and Structures,"Signal Processing;Electrical and Electronic Engineering;General Materials Science;Atomic and Molecular Physics, and Optics;Mechanics of Materials;Civil and Structural Engineering;Condensed Matter Physics"
10.1109/TSP.2013.2274276,Institute of Electrical and Electronics Engineers (IEEE),39,IEEE Transactions on Signal Processing,
10.1136/tobaccocontrol-2011-050254,BMJ,34,Tobacco Control,"Public Health, Environmental and Occupational Health;Health(social science)"
10.1016/j.geoforum.2013.09.001,Elsevier BV,28,Geoforum,Sociology and Political Science
10.1080/00220388.2013.807503,Informa UK Limited,42,Journal of Development Studies,Development
10.1021/ma4020824,American Chemical Society (ACS),32,Macromolecules,
10.1149/2.016309jes,The Electrochemical Society,38,Journal of The Electrochemical Society,
10.1016/j.cognition.2013.06.012,Elsevier BV,38,Cognition,
10.1016/j.cognition.2012.10.010,Elsevier BV,37,Cognition,Linguistics and Language;Experimental and Cognitive Psychology;Cognitive Neuroscience;Developmental and Educational Psychology;Language and Linguistics
10.1016/j.fss.2017.12.010,Elsevier BV,39,Fuzzy Sets and Systems,
10.1016/j.jmsy.2016.10.004,Elsevier BV,49,Journal of Manufacturing Systems,
10.1016/j.jclepro.2016.09.005,Elsevier BV,51,Journal of Cleaner Production,"Renewable Energy, Sustainability and the Environment;Strategy and Management;Industrial and Manufacturing Engineering;General Environmental Science"
10.1063/1.4974259,AIP Publishing,38,APL Photonics,
10.1001/jamaneurol.2017.0643,American Medical Association (AMA),47,JAMA Neurology,
10.1109/TIE.2017.2694414,Institute of Electrical and Electronics Engineers (IEEE),34,IEEE Transactions on Industrial Electronics,
10.1021/acs.langmuir.6b03032,American Chemical Society (ACS),45,Langmuir,
10.1016/j.cosust.2016.04.001,Elsevier BV,36,Current Opinion in Environmental Sustainability,General Social Sciences;General Environmental Science
10.1038/srep33349,Springer Science and Business Media LLC,13,Scientific Reports,Multidisciplinary
10.1016/j.solmat.2016.04.004,Elsevier BV,37,Solar Energy Materials and Solar Cells,
10.1016/j.renene.2015.10.014,Elsevier BV,42,Renewable Energy,
10.1038/ncomms11780,Springer Science and Business Media LLC,37,Nature Communications,"General Biochemistry, Genetics and Molecular Biology;General Physics and Astronomy;General Chemistry"
10.1016/j.snb.2016.03.021,Elsevier BV,40,Sensors and Actuators B: Chemical,
10.1016/j.ebiom.2016.06.009,Elsevier BV,49,EBioMedicine,
10.1088/1748-9326/11/4/044010,IOP Publishing,38,Environmental Research Letters,
10.1093/nar/gkv1346,Oxford University Press (OUP),43,Nucleic Acids Research,
10.1002/cssc.201600034,Wiley,42,ChemSusChem,
10.1109/TMC.2014.2316822,Institute of Electrical and Electronics Engineers (IEEE),31,IEEE Transactions on Mobile Computing,Computer Networks and Communications;Electrical and Electronic Engineering;Software
10.1021/acs.iecr.5b00748,American Chemical Society (ACS),37,Industrial & Engineering Chemistry Research,
